Uid,Hashed Id,Total Hours,Total Price,Unit Price,Package,Installments,Crm Deal Id,Discount,Stripe Url,Stripe Customer Id,Extra Student,Active,Created At,Last Updated,Booking Date,Upsell
175,2fe1a11f4424508a57afebcad034d1c0297d7f9ae58b735de14253f0,144,32976.0,229.0,18-months-229,18,378710000016143092,,toptutors.dk/order/2fe1a11f4424508a57afebcad034d1c0297d7f9ae58b735de14253f0,cus_JP6WsLhAXgPRKv,,True,2023-03-21 07:20:34.947201,2023-03-21 07:20:34.947237,,
169,7b0abf39e5a56354f79aaf3c1ce09ad870bdeb6023c073b7eb13d636,72,19368.0,269.0,9-months-269,9,378710000014539469,,toptutors.dk/order/7b0abf39e5a56354f79aaf3c1ce09ad870bdeb6023c073b7eb13d636,cus_LogVPOJwu8RxaI,,False,2023-03-21 07:20:34.947201,2023-03-21 07:20:34.947237,2023-04-02 23:45:51.867273,
185,c36756fe9105c655182db5ff0ba0140ad158c139a537fe4e253637a3,48,13872.0,289.0,6-months-289,6,378710000016285052,,toptutors.dk/order/c36756fe9105c655182db5ff0ba0140ad158c139a537fe4e253637a3,cus_NgjhsnEDxABd1g,,False,2023-04-06 08:44:48.648179,2023-04-06 08:44:48.648215,,False
179,6734f4b1a575c7507d4f9ce2e120c6411666a5fe28013b19c53d65fa,48,13872.0,289.0,6-months-289,6,378710000016268344,,toptutors.dk/order/6734f4b1a575c7507d4f9ce2e120c6411666a5fe28013b19c53d65fa,cus_NerFOEVvYDd6X7,,True,2023-04-04 14:38:17.844288,2023-04-04 14:38:17.844309,,False
220,866773d440fb8cfa02b144592bb155f3d7ba16c1c8ef0362b785ab5d,144,32976.0,229.0,18-months-229,18,378710000016483918,,toptutors.dk/order/866773d440fb8cfa02b144592bb155f3d7ba16c1c8ef0362b785ab5d,cus_NjKno90WpI5lao,,True,2023-04-13 07:03:19.430356,2023-04-13 07:03:19.430396,,False
180,f30a71f3b546c984fbb26b0e777f8d5c520b158de3aa81932b719eb8,72,19368.0,269.0,9-months-269,9,378710000015452298,,toptutors.dk/order/f30a71f3b546c984fbb26b0e777f8d5c520b158de3aa81932b719eb8,cus_Net85ZVeGXrqVh,,False,2023-04-04 14:38:17.844288,2023-04-04 14:38:17.844309,,False
170,012c8e387a1230d289b423082e64cc2b773ae5da8d0f1739f9dca1e9,144,32976.0,229.0,18-months-229,18,378710000015778440,,toptutors.dk/order/012c8e387a1230d289b423082e64cc2b773ae5da8d0f1739f9dca1e9,cus_Ncx5VsYczjOSck,,False,2023-03-21 07:20:34.947201,2023-04-06 08:44:48.648215,,
182,a0210bef4a520e0768d7ef27a611c5f493a25ae9018408943e303f5b,144,32976.0,229.0,18-months-229,18,378710000015897793,,toptutors.dk/order/a0210bef4a520e0768d7ef27a611c5f493a25ae9018408943e303f5b,cus_Nf8eSy5mMqMv64,,False,2023-04-04 14:38:17.844288,2023-04-06 08:44:48.648215,,False
183,5cf9d9dd2fc0d6f19f79704f164bce140265cb4c709e8cd8c27d4905,2,618.0,309.0,single-309,1,378710000000475254,,toptutors.dk/order/5cf9d9dd2fc0d6f19f79704f164bce140265cb4c709e8cd8c27d4905,cus_KM1kDtlsW0pyEq,,False,2023-04-06 08:44:48.648179,2023-04-06 08:44:48.648215,,False
223,71e8b890415877fb0c30345d0348826ba9a089b01da8bfb006094e71,24,7416.0,309.0,3-months-309,3,378710000016411018,,toptutors.dk/order/71e8b890415877fb0c30345d0348826ba9a089b01da8bfb006094e71,cus_NjiiPsXWFwbLiL,,False,2023-04-13 07:03:19.430356,2023-04-13 07:03:19.430396,,False
